recordId,recordType,kanda,sarga,source,locator,description,tamilDraftStatus,whySafeNew,confidence,risk,recommendedDecision,ownerDecision
"STAGING-ARANYA-SARGA-1-2026","","Aranya Kanda",1,["VALMIKI_RAMAYANA_ARANYA_KANDA","SANSKRIT_DOCUMENTS_VALMIKI","READRAMAYANA_GITA_PRESS_COMPARISON"],"3.1.1 to 3.1.28","Entry into Dandakaranya Forest and Meeting Sage Sutikshna","EDITORIAL_DRAFT_READY_FOR_HUMAN_REVIEW","Independent source evidence, explicit locator, authority fields, stable ID, and no canonical target.",0.98,"STANDARD_OWNER_REVIEW","APPROVE",""
"STAGING-ARANYA-SARGA-10-2026","","Aranya Kanda",10,["VALMIKI_RAMAYANA_ARANYA_KANDA","SANSKRIT_DOCUMENTS_VALMIKI","READRAMAYANA_GITA_PRESS_COMPARISON"],"3.10.1 to 3.10.30","Arrival of Surpanakha at Panchavati","EDITORIAL_DRAFT_READY_FOR_HUMAN_REVIEW","Independent source evidence, explicit locator, authority fields, stable ID, and no canonical target.",0.98,"STANDARD_OWNER_REVIEW","APPROVE",""
"STAGING-ARANYA-SARGA-11-2026","","Aranya Kanda",11,["VALMIKI_RAMAYANA_ARANYA_KANDA","SANSKRIT_DOCUMENTS_VALMIKI","READRAMAYANA_GITA_PRESS_COMPARISON"],"3.11.1 to 3.11.35","Surpanakha's Approach and Encounter with Rama and Sita","EDITORIAL_DRAFT_READY_FOR_HUMAN_REVIEW","Independent source evidence, explicit locator, authority fields, stable ID, and no canonical target.",0.98,"STANDARD_OWNER_REVIEW","APPROVE",""
"STAGING-ARANYA-SARGA-12-2026","","Aranya Kanda",12,["VALMIKI_RAMAYANA_ARANYA_KANDA","SANSKRIT_DOCUMENTS_VALMIKI","READRAMAYANA_GITA_PRESS_COMPARISON"],"3.12.1 to 3.12.30","Surpanakha Approaches Lakshmana and is Mutilated","EDITORIAL_DRAFT_READY_FOR_HUMAN_REVIEW","Independent source evidence, explicit locator, authority fields, stable ID, and no canonical target.",0.98,"STANDARD_OWNER_REVIEW","APPROVE",""
"STAGING-ARANYA-SARGA-13-2026","","Aranya Kanda",13,["VALMIKI_RAMAYANA_ARANYA_KANDA","SANSKRIT_DOCUMENTS_VALMIKI","READRAMAYANA_GITA_PRESS_COMPARISON"],"3.13.1 to 3.13.32","Surpanakha Flees to Khara and Demands Vengeance","EDITORIAL_DRAFT_READY_FOR_HUMAN_REVIEW","Independent source evidence, explicit locator, authority fields, stable ID, and no canonical target.",0.98,"STANDARD_OWNER_REVIEW","APPROVE",""
"STAGING-ARANYA-SARGA-14-2026","","Aranya Kanda",14,["VALMIKI_RAMAYANA_ARANYA_KANDA","SANSKRIT_DOCUMENTS_VALMIKI","READRAMAYANA_GITA_PRESS_COMPARISON"],"3.14.1 to 3.14.30","Khara Dispatches Demonic Scouts and War Council","EDITORIAL_DRAFT_READY_FOR_HUMAN_REVIEW","Independent source evidence, explicit locator, authority fields, stable ID, and no canonical target.",0.98,"STANDARD_OWNER_REVIEW","APPROVE",""
"STAGING-ARANYA-SARGA-15-2026","","Aranya Kanda",15,["VALMIKI_RAMAYANA_ARANYA_KANDA","SANSKRIT_DOCUMENTS_VALMIKI","READRAMAYANA_GITA_PRESS_COMPARISON"],"3.15.1 to 3.15.30","Khara's Army Marches on Panchavati","EDITORIAL_DRAFT_READY_FOR_HUMAN_REVIEW","Independent source evidence, explicit locator, authority fields, stable ID, and no canonical target.",0.98,"STANDARD_OWNER_REVIEW","APPROVE",""
"STAGING-ARANYA-SARGA-16-2026","","Aranya Kanda",16,["VALMIKI_RAMAYANA_ARANYA_KANDA","SANSKRIT_DOCUMENTS_VALMIKI","READRAMAYANA_GITA_PRESS_COMPARISON"],"3.16.1 to 3.16.35","Arrival at the Hermitage of Sage Agastya","EDITORIAL_DRAFT_READY_FOR_HUMAN_REVIEW","Independent source evidence, explicit locator, authority fields, stable ID, and no canonical target.",0.98,"STANDARD_OWNER_REVIEW","APPROVE",""
"STAGING-ARANYA-SARGA-17-2026","","Aranya Kanda",17,["VALMIKI_RAMAYANA_ARANYA_KANDA","SANSKRIT_DOCUMENTS_VALMIKI","READRAMAYANA_GITA_PRESS_COMPARISON"],"3.17.1 to 3.17.30","Agastya Gifts the Celestial Bow and Quivers to Rama","EDITORIAL_DRAFT_READY_FOR_HUMAN_REVIEW","Independent source evidence, explicit locator, authority fields, stable ID, and no canonical target.",0.98,"STANDARD_OWNER_REVIEW","APPROVE",""
"STAGING-ARANYA-SARGA-18-2026","","Aranya Kanda",18,["VALMIKI_RAMAYANA_ARANYA_KANDA","SANSKRIT_DOCUMENTS_VALMIKI","READRAMAYANA_GITA_PRESS_COMPARISON"],"3.18.1 to 3.18.32","Agastya Directs Rama to Establish Panchavati","EDITORIAL_DRAFT_READY_FOR_HUMAN_REVIEW","Independent source evidence, explicit locator, authority fields, stable ID, and no canonical target.",0.98,"STANDARD_OWNER_REVIEW","APPROVE",""
